image_id,source_id,figure,panel,x0,y0,x1,y1,outcome_class,label_note
cvd_001,s02,2,a,22,14,252,128,b,near-bare substrate; almost no nucleation (28.3 sccm)
cvd_002,s02,2,b,276,14,506,128,b,sparse particle-like nuclei (28.7 sccm)
cvd_003,s02,2,c,530,14,760,128,d,small sparse triangles (29.1 sccm)
cvd_004,s02,2,d,22,185,252,300,a,monolayer triangles with some overlap (29.6 sccm)
cvd_005,s02,2,e,276,185,506,300,a,monolayer triangles (29.7 sccm)
cvd_006,s02,2,f,538,185,760,300,a,large monolayer triangles (29.8 sccm)
cvd_007,s02,2,g,22,357,252,472,c,triangles with thickened multilayer regions (30.1 sccm)
cvd_009,s02,2,i,530,357,760,472,g,dendritic rosettes; decomposition (31.2 sccm)
cvd_010,s04,2,a,65,14,190,100,d,dense small triangles with thick spots (switch 30 min before)
cvd_011,s04,2,b,258,14,383,100,c,triangles with bulk nuclei (switch 10 min before)
cvd_012,s04,2,c,450,14,575,100,d,small triangles (switch 5 min before)
cvd_013,s04,2,d,642,14,767,100,a,large monolayer triangles (switch 1 min before)
cvd_014,s04,2,e,65,145,190,232,d,dense small triangles (5 min growth)
cvd_015,s04,2,f,258,145,383,232,c,stacked multilayer triangles (15 min growth)
cvd_016,s04,2,g,450,145,575,232,d,dense small triangles (720 C)
cvd_017,s04,2,h,642,145,767,232,c,large triangles with multilayer spots (810 C)
cvd_018,s01,3,d-p1,10,312,165,380,c,bulk MoS2 on continuous film
cvd_019,s01,3,d-p2,195,312,365,392,c,nanostructures on continuous film
cvd_020,s01,3,d-p4,560,312,720,380,a,single monolayer domains
cvd_021,s01,7,e,215,768,450,860,e,yellow and white residue crystals (S:Mo 1:1; Raman in panel f)
cvd_022,s10,2,b,270,5,480,150,a,monolayer WSe2 triangles
cvd_023,s10,2,e,270,175,480,320,c,hexagonal MoSe2 with thick coalesced regions
cvd_024,s08,1,c,480,255,690,395,e,MoS2/MoO2 microflowers; oxide-rich
cvd_025,s09,1,a,30,30,318,230,a,monolayer WS2
