[V1] core_leak_lp_01__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_01__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_02__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_02__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_after_reminder; collection complete)
[V1] core_leak_lp_03__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_03__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_04__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_04__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_05__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_05__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_06__visible         visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_06__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_07__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_07__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_08__visible         visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_08__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_09__visible         visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_09__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_lp_10__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_lp_10__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_01__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_01__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_02__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_02__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_03__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_03__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_04__visible        visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_04__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_05__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_05__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_06__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_06__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_07__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_07__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_08__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_08__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_09__visible        visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_09__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_block_lp_10__visible        visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_block_lp_10__hidden         hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_01__visible         visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_01__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_02__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
